Bench/IPC            riscv64      x86          aarch64     
---------            --------     --------     --------    
x264_r               2.226099     1.714259     2.963295    
gcc_r                1.126971     0.762623     0.992765    
wrf_r                0.197522     0.250951     0.186966    
imagick_r            1.507645     0.998157     1.372242    
nab_r                1.775777     1.019560     1.552357    
blender_r            1.008422     0.684664     0.885881    
exchange2_r          1.096983     1.189711     1.362469    
cam4_r               1.011953     0.455457     0.814584    
omnetpp_r            1.056043     0.885317     1.025274    
mcf_r                1.451727     0.857183     1.241262    
parest_r             1.034953     0.798850     0.865004    
bwaves_r             0.408043     0.029872     0.067801    
roms_r               1.493545     1.057491     1.350979    
cactuBSSN_r          1.366475     1.030040     0.986261    
leela_r              1.258848     0.864227     1.432325    
lbm_r                0.150677     0.051008     0.092445    
fotonik3d_r          1.298275     0.915945     1.169205    
deepsjeng_r          0.188344     0.043066     0.259032    
xz_r                 0.245544     0.099210     0.236395    
xalancbmk_r          0.963163     0.691743     0.740734    
povray_r             1.320804     0.998022     1.102435    
namd_r               1.534441     1.343056     1.380520    
perlbench_r          0.841313     0.577970     0.674882    
avg.                 1.067974     0.752970     0.989352    
