Bench/IPC            riscv64      x86          aarch64     
---------            --------     --------     --------    
x264_r               2.207117     1.723762     2.280345    
gcc_r                1.051680     0.766298     0.929258    
wrf_r                0.187289     0.250971     0.168669    
imagick_r            1.215284     1.000085     1.156217    
nab_r                0.923231     1.029639     0.988972    
blender_r            0.898252     0.683243     0.830555    
exchange2_r          0.958758     1.119700     1.086341    
cam4_r               0.894184     0.458297     0.726586    
omnetpp_r            0.988715     0.874357     0.972114    
mcf_r                0.839439     0.853618     0.845460    
parest_r             0.987286     0.798497     0.856220    
bwaves_r             0.398539     0.029878     0.067694    
roms_r               1.175347     1.110584     0.988619    
cactuBSSN_r          1.205575     0.997840     0.909398    
leela_r              1.082160     0.850341     1.076645    
lbm_r                0.150311     0.051008     0.096787    
fotonik3d_r          0.937348     0.911098     0.807208    
deepsjeng_r          0.181639     0.043016     0.250964    
xz_r                 0.236174     0.099520     0.229465    
xalancbmk_r          0.907254     0.692186     0.712128    
povray_r             1.211670     1.001981     0.966250    
namd_r               1.048750     1.269979     0.994488    
perlbench_r          0.783707     0.582422     0.632213    
avg.                 0.889983     0.747748     0.807504    
