Bench/IPC            riscv64      x86          aarch64     
---------            --------     --------     --------    
x264_r               2.207117     1.802209     2.280345    
gcc_r                1.051680     0.753953     0.929258    
wrf_r                0.187289     0.249901     0.168669    
imagick_r            1.215284     0.999933     1.156217    
nab_r                0.923231     0.963569     0.988972    
blender_r            0.898252     0.677313     0.830555    
exchange2_r          0.958758     1.109324     1.086341    
cam4_r               0.894184     0.434242     0.726586    
omnetpp_r            0.988715     0.857703     0.972114    
mcf_r                0.839439     0.838771     0.845460    
parest_r             0.987286     0.789716     0.856220    
bwaves_r             0.398539     0.029890     0.067694    
roms_r               1.175347     1.021238     0.988619    
cactuBSSN_r          1.205575     0.961813     0.909398    
leela_r              1.082160     0.835127     1.076645    
lbm_r                0.150311     0.051011     0.096787    
fotonik3d_r          0.937348     0.820920     0.807208    
deepsjeng_r          0.181639     0.043016     0.250964    
xz_r                 0.236174     0.100033     0.229465    
xalancbmk_r          0.907254     0.689214     0.712128    
povray_r             1.211670     0.981621     0.966250    
namd_r               1.048750     1.233750     0.994488    
perlbench_r          0.783707     0.563311     0.632213    
avg.                 0.889983     0.730757     0.807504    
