x,y
0,0.0
1000,0.001
2000,0.001
3000,0.003
4000,0.004
5000,0.005
6000,0.005
7000,0.007
8000,0.008
9000,0.008
10000,0.008
11000,0.009
12000,0.011
13000,0.011
14000,0.012
15000,0.012
16000,0.012
17000,0.013
18000,0.014
19000,0.016
20000,0.016
21000,0.016
22000,0.018
23000,0.019
24000,0.021
25000,0.021
26000,0.023
27000,0.023
28000,0.024
29000,0.026
30000,0.029
31000,0.03
32000,0.031
33000,0.032
34000,0.033
35000,0.037
36000,0.038
37000,0.038
38000,0.038
39000,0.038
40000,0.041
41000,0.042
42000,0.042
43000,0.043
44000,0.044
45000,0.045
46000,0.046
47000,0.047
48000,0.047
49000,0.048
50000,0.048
51000,0.048
52000,0.049
53000,0.05
54000,0.053
55000,0.053
56000,0.054
57000,0.054
58000,0.055
59000,0.056
60000,0.057
61000,0.058
62000,0.058
63000,0.06
64000,0.061
65000,0.061
66000,0.062
67000,0.064
68000,0.064
69000,0.065
70000,0.065
71000,0.065
72000,0.067
73000,0.069
74000,0.072
75000,0.072
76000,0.073
77000,0.074
78000,0.077
79000,0.077
80000,0.078
81000,0.078
82000,0.079
83000,0.08
84000,0.08
85000,0.081
86000,0.082
87000,0.082
88000,0.082
89000,0.082
90000,0.083
91000,0.085
92000,0.085
93000,0.086
94000,0.086
95000,0.088
96000,0.088
97000,0.09
98000,0.09
99000,0.091
100000,0.091
101000,0.092
102000,0.093
103000,0.094
104000,0.094
105000,0.096
106000,0.096
107000,0.098
108000,0.099
109000,0.099
110000,0.099
111000,0.099
112000,0.099
113000,0.1
114000,0.1
115000,0.1
116000,0.1
117000,0.1
118000,0.102
119000,0.105
120000,0.105
121000,0.106
122000,0.106
123000,0.106
124000,0.107
125000,0.108
126000,0.108
127000,0.108
128000,0.108
129000,0.109
130000,0.11
131000,0.11
132000,0.11
133000,0.111
134000,0.113
135000,0.113
136000,0.114
137000,0.115
138000,0.116
139000,0.116
140000,0.116
141000,0.118
142000,0.119
143000,0.119
144000,0.119
145000,0.121
146000,0.122
147000,0.122
148000,0.122
149000,0.124
150000,0.125
151000,0.125
152000,0.125
153000,0.126
154000,0.126
155000,0.126
156000,0.126
157000,0.127
158000,0.127
159000,0.128
160000,0.129
161000,0.13
162000,0.131
163000,0.131
164000,0.133
165000,0.133
166000,0.133
167000,0.134
168000,0.134
169000,0.135
170000,0.135
171000,0.135
172000,0.135
173000,0.135
174000,0.137
175000,0.137
176000,0.137
177000,0.137
178000,0.139
179000,0.141
180000,0.141
181000,0.141
182000,0.141
183000,0.141
184000,0.142
185000,0.142
186000,0.143
187000,0.144
188000,0.144
189000,0.144
190000,0.146
191000,0.147
192000,0.147
193000,0.148
194000,0.149
195000,0.15
196000,0.151
197000,0.151
198000,0.152
199000,0.152
200000,0.152
201000,0.152
202000,0.152
203000,0.152
204000,0.152
205000,0.153
206000,0.156
207000,0.156
208000,0.156
209000,0.158
210000,0.158
211000,0.159
212000,0.161
213000,0.162
214000,0.163
215000,0.164
216000,0.164
217000,0.164
218000,0.164
219000,0.164
220000,0.164
221000,0.166
222000,0.167
223000,0.168
224000,0.169
225000,0.17
226000,0.171
227000,0.172
228000,0.173
229000,0.175
230000,0.175
231000,0.176
232000,0.176
233000,0.176
234000,0.176
235000,0.176
236000,0.179
237000,0.181
238000,0.181
239000,0.182
240000,0.183
241000,0.183
242000,0.183
243000,0.183
244000,0.184
245000,0.187
246000,0.188
247000,0.189
248000,0.189
249000,0.189
250000,0.19
251000,0.192
252000,0.192
253000,0.192
254000,0.195
255000,0.197
256000,0.198
257000,0.201
258000,0.201
259000,0.202
260000,0.202
261000,0.202
262000,0.202
263000,0.202
264000,0.202
265000,0.203
266000,0.205
267000,0.207
268000,0.207
269000,0.209
270000,0.211
271000,0.211
272000,0.211
273000,0.211
274000,0.211
275000,0.213
276000,0.214
277000,0.214
278000,0.214
279000,0.214
280000,0.215
281000,0.215
282000,0.215
283000,0.217
284000,0.218
285000,0.219
286000,0.219
287000,0.22
288000,0.22
289000,0.221
290000,0.221
291000,0.221
292000,0.221
293000,0.221
294000,0.222
295000,0.223
296000,0.223
297000,0.224
298000,0.225
299000,0.225
300000,0.225
301000,0.226
302000,0.226
303000,0.227
304000,0.228
305000,0.228
306000,0.229
307000,0.232
308000,0.233
309000,0.235
310000,0.235
311000,0.236
312000,0.236
313000,0.237
314000,0.238
315000,0.24
316000,0.241
317000,0.242
318000,0.242
319000,0.244
320000,0.246
321000,0.247
322000,0.249
323000,0.249
324000,0.249
325000,0.249
326000,0.25
327000,0.251
328000,0.251
329000,0.252
330000,0.252
331000,0.254
332000,0.254
333000,0.255
334000,0.255
335000,0.256
336000,0.257
337000,0.257
338000,0.258
339000,0.258
340000,0.259
341000,0.26
342000,0.261
343000,0.261
344000,0.263
345000,0.265
346000,0.265
347000,0.265
348000,0.268
349000,0.269
350000,0.269
351000,0.269
352000,0.269
353000,0.269
354000,0.271
355000,0.273
356000,0.273
357000,0.273
358000,0.273
359000,0.275
360000,0.277
361000,0.277
362000,0.277
363000,0.278
364000,0.278
365000,0.278
366000,0.279
367000,0.279
368000,0.279
369000,0.279
370000,0.279
371000,0.279
372000,0.279
373000,0.279
374000,0.279
375000,0.279
376000,0.28
377000,0.28
378000,0.28
379000,0.28
380000,0.282
381000,0.283
382000,0.283
383000,0.284
384000,0.284
385000,0.285
386000,0.286
387000,0.286
388000,0.287
389000,0.287
390000,0.289
391000,0.289
392000,0.29
393000,0.291
394000,0.292
395000,0.292
396000,0.292
397000,0.293
398000,0.293
399000,0.293
400000,0.293
401000,0.293
402000,0.294
403000,0.294
404000,0.295
405000,0.296
406000,0.3
407000,0.3
408000,0.301
409000,0.303
410000,0.304
411000,0.306
412000,0.307
413000,0.307
414000,0.308
415000,0.309
416000,0.309
417000,0.309
418000,0.311
419000,0.311
420000,0.311
421000,0.313
422000,0.313
423000,0.314
424000,0.315
425000,0.315
426000,0.315
427000,0.315
428000,0.315
429000,0.315
430000,0.316
431000,0.318
432000,0.318
433000,0.318
434000,0.319
435000,0.319
436000,0.319
437000,0.319
438000,0.32
439000,0.322
440000,0.322
441000,0.323
442000,0.324
443000,0.324
444000,0.326
445000,0.327
446000,0.327
447000,0.328
448000,0.329
