x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.001
800,0.001
900,0.001
1000,0.002
1100,0.003
1200,0.005
1300,0.005
1400,0.006
1500,0.008
1600,0.009
1700,0.01
1800,0.011
1900,0.014
2000,0.017
2100,0.021
2200,0.026
2300,0.034
2400,0.04
2500,0.048
2600,0.052
2700,0.056
2800,0.061
2900,0.074
3000,0.085
3100,0.093
3200,0.1
3300,0.111
3400,0.122
3500,0.131
3600,0.144
3700,0.166
3800,0.185
3900,0.205
4000,0.218
4100,0.234
4200,0.252
4300,0.268
4400,0.283
4500,0.301
4600,0.313
4700,0.331
4800,0.345
4900,0.354
5000,0.373
5100,0.391
5200,0.407
5300,0.424
5400,0.438
5500,0.459
5600,0.479
5700,0.5
5800,0.517
5900,0.533
6000,0.552
6100,0.564
6200,0.575
6300,0.591
6400,0.606
6500,0.62
6600,0.643
6700,0.656
6800,0.668
6900,0.682
7000,0.699
7100,0.705
7200,0.715
7300,0.725
7400,0.734
7500,0.749
7600,0.76
7700,0.771
7800,0.781
7900,0.794
8000,0.801
8100,0.811
8200,0.821
8300,0.825
8400,0.833
8500,0.843
8600,0.847
8700,0.855
8800,0.862
8900,0.868
9000,0.874
9100,0.881
9200,0.888
9300,0.895
9400,0.903
9500,0.913
9600,0.917
9700,0.919
9800,0.924
9900,0.926
10000,0.93
10100,0.935
10200,0.938
10300,0.941
10400,0.947
10500,0.948
10600,0.951
10700,0.953
10800,0.956
10900,0.96
11000,0.962
11100,0.964
11200,0.966
11300,0.967
11400,0.968
11500,0.973
11600,0.974
11700,0.975
11800,0.976
11900,0.978
12000,0.98
12100,0.981
12200,0.984
12300,0.986
12400,0.987
12500,0.988
12600,0.99
12700,0.99
12800,0.99
12900,0.991
13000,0.992
13100,0.993
13200,0.993
13300,0.994
13400,0.994
13500,0.994
13600,0.994
13700,0.995
13800,0.996
13900,0.996
14000,0.996
14100,0.996
14200,0.996
14300,0.997
14400,0.997
14500,0.997
14600,0.997
14700,0.997
14800,0.997
14900,0.997
15000,0.997
