x,y
0,0.0
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
70,0.0
80,0.0
90,0.0
100,0.0
110,0.0
120,0.0
130,0.0
140,0.0
150,0.0
160,0.0
170,0.0
180,0.0
190,0.0
200,0.0
210,0.0
220,0.0
230,0.0
240,0.0
250,0.0
260,0.0
270,0.0
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
360,0.0
370,0.0
380,0.0
390,0.0
400,0.0
410,0.0
420,0.0
430,0.0
440,0.0
450,0.0
460,0.0
470,0.0
480,0.0
490,0.0
500,0.0
510,0.0
520,0.0
530,0.0
540,0.0
550,0.0
560,0.0
570,0.0
580,0.0
590,0.0
600,0.0
610,0.0
620,0.0
630,0.0
640,0.0
650,0.0
660,0.0
670,0.0
680,0.0
690,0.0
700,0.0
710,0.0
720,0.0
730,0.0
740,0.0
750,0.0
760,0.0
770,0.0
780,0.0
790,0.0
800,0.0
810,0.0
820,0.0
830,0.0
840,0.0
850,0.0
860,0.0
870,0.0
880,0.0
890,0.0
900,0.0
910,0.0
920,0.0
930,0.0
940,0.0
950,0.0
960,0.0
970,0.0
980,0.0
990,0.0
1000,0.0
1010,0.0
1020,0.0
1030,0.0
1040,0.0
1050,0.0
1060,0.0
1070,0.0
1080,0.0
1090,0.0
1100,0.0
1110,0.0
1120,0.0
1130,0.0
1140,0.0
1150,0.0
1160,0.0
1170,0.0
1180,0.0
1190,0.0
1200,0.0
1210,0.0
1220,0.0
1230,0.0
1240,0.0
1250,0.0
1260,0.0
1270,0.0
1280,0.0
1290,0.0
1300,0.0
1310,0.0
1320,0.0
1330,0.0
1340,0.0
1350,2e-05
1360,4e-05
1370,6e-05
1380,6e-05
1390,6e-05
1400,6e-05
1410,6e-05
1420,8e-05
1430,8e-05
1440,8e-05
1450,8e-05
1460,8e-05
1470,8e-05
1480,8e-05
1490,8e-05
1500,8e-05
1510,8e-05
1520,8e-05
1530,8e-05
1540,0.0001
1550,0.0001
1560,0.0001
1570,0.0001
1580,0.0001
1590,0.00014
1600,0.00016
1610,0.00018
1620,0.00018
1630,0.00018
1640,0.00018
1650,0.00018
1660,0.0002
1670,0.00022
1680,0.00022
1690,0.00026
1700,0.00026
1710,0.00026
1720,0.0003
1730,0.0003
1740,0.0003
1750,0.0003
1760,0.0003
1770,0.00034
1780,0.00034
1790,0.00034
1800,0.00036
1810,0.00036
1820,0.00038
1830,0.00038
1840,0.0004
1850,0.0004
1860,0.00042
1870,0.00042
1880,0.00044
1890,0.00046
1900,0.0005
1910,0.0006
1920,0.00064
1930,0.00066
1940,0.0007
1950,0.00072
1960,0.00078
1970,0.0008
1980,0.00084
1990,0.00086
2000,0.0009
2010,0.0009
2020,0.0009
2030,0.00092
2040,0.00092
2050,0.00096
2060,0.00098
2070,0.00102
2080,0.00106
2090,0.00106
2100,0.00108
2110,0.0012
2120,0.00126
2130,0.00138
2140,0.00146
2150,0.00156
2160,0.00168
2170,0.00176
2180,0.00182
2190,0.00194
2200,0.00202
2210,0.0021
2220,0.00212
2230,0.00218
2240,0.00228
2250,0.00234
2260,0.0024
2270,0.00244
2280,0.00252
2290,0.0026
2300,0.00262
2310,0.00276
2320,0.00304
2330,0.00316
2340,0.00332
2350,0.00348
2360,0.00356
2370,0.00362
2380,0.00372
2390,0.00388
2400,0.00398
2410,0.0041
2420,0.0042
2430,0.00428
2440,0.00446
2450,0.00456
2460,0.0047
2470,0.00478
2480,0.00494
2490,0.00502
2500,0.00518
2510,0.00538
2520,0.00552
2530,0.00566
2540,0.00572
2550,0.00586
2560,0.00598
2570,0.00616
2580,0.00628
2590,0.00638
2600,0.0065
2610,0.0066
2620,0.00678
2630,0.0071
2640,0.00728
2650,0.00752
2660,0.00768
2670,0.00782
2680,0.00804
2690,0.00826
2700,0.00834
2710,0.00862
2720,0.00882
2730,0.00906
2740,0.00928
2750,0.00946
2760,0.00964
2770,0.00998
2780,0.01048
2790,0.01072
2800,0.01088
2810,0.01132
2820,0.01162
2830,0.01184
2840,0.01216
2850,0.0124
2860,0.01266
2870,0.01294
2880,0.01318
2890,0.01358
2900,0.01384
2910,0.01426
2920,0.01456
2930,0.01478
2940,0.01514
2950,0.01558
2960,0.01602
2970,0.01632
2980,0.01662
2990,0.01688
3000,0.01728
3010,0.01768
3020,0.01824
3030,0.01872
3040,0.0191
3050,0.01952
3060,0.01996
3070,0.02024
3080,0.0207
3090,0.02114
3100,0.02156
3110,0.02188
3120,0.0223
3130,0.02286
3140,0.02334
3150,0.02372
3160,0.02432
3170,0.0249
3180,0.02542
3190,0.02604
3200,0.0268
3210,0.02732
3220,0.02788
3230,0.02848
3240,0.0289
3250,0.02936
3260,0.02972
3270,0.03022
3280,0.03096
3290,0.03148
3300,0.03206
3310,0.03278
3320,0.03336
3330,0.03406
3340,0.03486
3350,0.0355
3360,0.03612
3370,0.03676
3380,0.03742
3390,0.03794
3400,0.03866
3410,0.0396
3420,0.04046
3430,0.04118
3440,0.04188
3450,0.0426
3460,0.0433
3470,0.04406
3480,0.04484
3490,0.04568
3500,0.04654
3510,0.04722
3520,0.04796
3530,0.04894
3540,0.0497
3550,0.05054
3560,0.05132
3570,0.05226
3580,0.05296
3590,0.05358
3600,0.05434
3610,0.05508
3620,0.05598
3630,0.05688
3640,0.05762
3650,0.05844
3660,0.05952
3670,0.06028
3680,0.06122
3690,0.06216
3700,0.06318
3710,0.06426
3720,0.065
3730,0.06612
3740,0.0676
3750,0.06876
3760,0.0696
3770,0.07062
3780,0.07162
3790,0.07254
3800,0.07378
3810,0.07486
3820,0.07616
3830,0.07734
3840,0.07854
3850,0.07972
3860,0.08082
3870,0.082
3880,0.08324
3890,0.0845
3900,0.08572
3910,0.08686
3920,0.08802
3930,0.08914
3940,0.0904
3950,0.09144
3960,0.09254
3970,0.09352
3980,0.09484
3990,0.0962
4000,0.09764
4010,0.09866
4020,0.10042
4030,0.10184
4040,0.10324
4050,0.1046
4060,0.10592
4070,0.10714
4080,0.10838
4090,0.10962
4100,0.11144
4110,0.11278
4120,0.11426
4130,0.11562
4140,0.11698
4150,0.1182
4160,0.11998
4170,0.12142
4180,0.12308
4190,0.12466
4200,0.12632
4210,0.12786
4220,0.12936
4230,0.131
4240,0.13244
4250,0.13408
4260,0.13566
4270,0.13726
4280,0.13892
4290,0.14056
4300,0.14192
4310,0.14344
4320,0.14504
4330,0.1466
4340,0.14836
4350,0.15022
4360,0.15184
4370,0.15376
4380,0.15544
4390,0.15716
4400,0.159
4410,0.16068
4420,0.16258
4430,0.16432
4440,0.1661
4450,0.16778
4460,0.16962
4470,0.17166
4480,0.17358
4490,0.17562
4500,0.1773
4510,0.1793
4520,0.18124
4530,0.183
4540,0.18476
4550,0.18644
4560,0.18834
4570,0.19028
4580,0.19192
4590,0.19374
4600,0.19512
4610,0.1972
4620,0.1991
4630,0.20112
4640,0.2032
4650,0.20522
4660,0.20736
4670,0.20908
4680,0.21072
4690,0.21276
4700,0.21442
4710,0.2163
4720,0.21878
4730,0.22096
4740,0.22294
4750,0.22476
4760,0.22694
4770,0.22896
4780,0.2309
4790,0.23296
4800,0.2346
4810,0.23674
4820,0.239
4830,0.24106
4840,0.24306
4850,0.24498
4860,0.2469
4870,0.24902
4880,0.25106
4890,0.25352
4900,0.25566
4910,0.2581
4920,0.26022
4930,0.26246
4940,0.26472
4950,0.26662
4960,0.26886
4970,0.27098
4980,0.27322
4990,0.2754
5000,0.27742
5010,0.2795
5020,0.28198
5030,0.2845
5040,0.28696
5050,0.28918
5060,0.29132
5070,0.29338
5080,0.29538
5090,0.29784
5100,0.3
5110,0.30218
5120,0.30414
5130,0.30632
5140,0.3084
5150,0.3102
5160,0.31244
5170,0.3149
5180,0.31712
5190,0.31952
5200,0.3217
5210,0.32388
5220,0.32602
5230,0.32858
5240,0.33078
5250,0.33328
5260,0.33564
5270,0.33818
5280,0.34022
5290,0.34252
5300,0.34496
5310,0.3472
5320,0.3496
5330,0.35202
5340,0.35444
5350,0.35702
5360,0.35938
5370,0.36166
5380,0.36408
5390,0.36636
5400,0.3689
5410,0.37142
5420,0.37356
5430,0.37584
5440,0.37838
5450,0.38098
5460,0.38346
5470,0.38576
5480,0.38822
5490,0.3906
5500,0.3929
5510,0.39528
5520,0.39786
5530,0.40008
5540,0.40194
5550,0.40422
5560,0.40616
5570,0.4083
5580,0.41054
5590,0.41288
5600,0.41512
5610,0.4173
5620,0.4195
5630,0.42192
5640,0.42418
5650,0.42628
5660,0.42868
5670,0.43118
5680,0.43306
5690,0.43536
5700,0.4376
5710,0.44002
5720,0.44286
5730,0.44526
5740,0.44768
5750,0.4504
5760,0.45284
5770,0.45506
5780,0.45748
5790,0.4603
5800,0.4627
5810,0.46476
5820,0.46712
5830,0.46946
5840,0.47188
5850,0.47428
5860,0.47632
5870,0.47816
5880,0.48074
5890,0.48286
5900,0.48522
5910,0.48728
5920,0.48988
5930,0.49222
5940,0.49422
5950,0.49634
5960,0.49856
5970,0.50104
5980,0.50332
5990,0.5055
6000,0.508
6010,0.5104
6020,0.5129
6030,0.51544
6040,0.51768
6050,0.51984
6060,0.52234
6070,0.52468
6080,0.52686
6090,0.52898
6100,0.531
6110,0.53312
6120,0.53518
6130,0.53726
6140,0.53964
6150,0.54204
6160,0.54438
6170,0.5468
