x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.001
1800,0.005
1900,0.008
2000,0.01
2100,0.015
2200,0.022
2300,0.032
2400,0.042
2500,0.055
2600,0.067
2700,0.083
2800,0.106
2900,0.127
3000,0.149
3100,0.18
3200,0.209
3300,0.24
3400,0.269
3500,0.314
3600,0.348
3700,0.385
3800,0.419
3900,0.464
4000,0.501
4100,0.53
4200,0.558
4300,0.592
4400,0.622
4500,0.663
4600,0.69
4700,0.723
4800,0.747
4900,0.776
5000,0.796
5100,0.817
5200,0.828
5300,0.849
5400,0.866
5500,0.874
5600,0.891
5700,0.896
5800,0.904
5900,0.913
6000,0.919
6100,0.922
6200,0.931
6300,0.938
6400,0.946
6500,0.955
6600,0.961
6700,0.964
6800,0.968
6900,0.969
7000,0.973
7100,0.977
7200,0.981
7300,0.982
7400,0.985
7500,0.986
7600,0.987
7700,0.987
7800,0.99
7900,0.991
8000,0.991
