x,y
0,0.0
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
70,0.0
80,0.0
90,0.0
100,0.0
110,0.0
120,0.0
130,0.0
140,0.0
150,0.0
160,0.0
170,0.0
180,0.0
190,0.0
200,0.0
210,0.0
220,0.0
230,0.0
240,0.0
250,2e-05
260,4e-05
270,6e-05
280,6e-05
290,6e-05
300,6e-05
310,6e-05
320,6e-05
330,6e-05
340,6e-05
350,0.0001
360,0.00016
370,0.00016
380,0.0002
390,0.0002
400,0.00022
410,0.00022
420,0.00024
430,0.00026
440,0.00026
450,0.00026
460,0.00028
470,0.0003
480,0.00036
490,0.00038
500,0.00042
510,0.0005
520,0.00062
530,0.00066
540,0.00068
550,0.00074
560,0.0008
570,0.0009
580,0.00096
590,0.00106
600,0.00124
610,0.00132
620,0.00142
630,0.00154
640,0.00162
650,0.0018
660,0.00188
670,0.00202
680,0.00212
690,0.0023
700,0.0025
710,0.00262
720,0.00284
730,0.003
740,0.00328
750,0.00348
760,0.0039
770,0.00426
780,0.00446
790,0.00468
800,0.00516
810,0.00552
820,0.00584
830,0.00626
840,0.00664
850,0.00726
860,0.0077
870,0.00836
880,0.00888
890,0.0092
900,0.00952
910,0.00996
920,0.01036
930,0.01092
940,0.01144
950,0.01214
960,0.01286
970,0.01336
980,0.01404
990,0.01454
1000,0.01508
1010,0.01554
1020,0.01624
1030,0.01698
1040,0.01746
1050,0.01784
1060,0.0184
1070,0.01928
1080,0.02002
1090,0.02094
1100,0.02188
1110,0.02276
1120,0.02376
1130,0.02492
1140,0.0258
1150,0.02666
1160,0.02786
1170,0.02878
1180,0.0299
1190,0.03074
1200,0.03204
1210,0.03318
1220,0.0344
1230,0.03576
1240,0.0368
1250,0.03794
1260,0.03924
1270,0.04048
1280,0.04186
1290,0.04328
1300,0.04454
1310,0.04592
1320,0.04736
1330,0.04862
1340,0.05006
1350,0.05168
1360,0.05322
1370,0.05474
1380,0.056
1390,0.05756
1400,0.05912
1410,0.06078
1420,0.06266
1430,0.0642
1440,0.0661
1450,0.0675
1460,0.06938
1470,0.071
1480,0.0725
1490,0.07438
1500,0.07628
1510,0.0783
1520,0.0803
1530,0.08198
1540,0.08396
1550,0.08596
1560,0.0876
1570,0.0897
1580,0.09202
1590,0.09438
1600,0.09626
1610,0.09858
1620,0.10066
1630,0.10326
1640,0.1056
1650,0.1074
1660,0.10932
1670,0.1117
1680,0.11416
1690,0.1165
1700,0.11896
1710,0.12124
1720,0.12356
1730,0.126
1740,0.12876
1750,0.13096
1760,0.13352
1770,0.13582
1780,0.13836
1790,0.14146
1800,0.14358
1810,0.14604
1820,0.14856
1830,0.15094
1840,0.15354
1850,0.15616
1860,0.15884
1870,0.1618
1880,0.16462
1890,0.16702
1900,0.16988
1910,0.17322
1920,0.17622
1930,0.17916
1940,0.18164
1950,0.18436
1960,0.18686
1970,0.18992
1980,0.1927
1990,0.19542
2000,0.19834
2010,0.20136
2020,0.20438
2030,0.2077
2040,0.21094
2050,0.2139
2060,0.2169
2070,0.21956
2080,0.22212
2090,0.22534
2100,0.22884
2110,0.23224
2120,0.23542
2130,0.2383
2140,0.24146
2150,0.24446
2160,0.24802
2170,0.2509
2180,0.25424
2190,0.25762
2200,0.26124
2210,0.26536
2220,0.26838
2230,0.27144
2240,0.27442
2250,0.27736
2260,0.28078
2270,0.28434
2280,0.28734
2290,0.29066
2300,0.29422
2310,0.29778
2320,0.30112
2330,0.30442
2340,0.30786
2350,0.3113
2360,0.3144
2370,0.31778
2380,0.32108
2390,0.3243
2400,0.3276
2410,0.33094
2420,0.33426
2430,0.33746
2440,0.34122
2450,0.34416
2460,0.34774
2470,0.35112
2480,0.35452
2490,0.35794
2500,0.3615
2510,0.36522
2520,0.36814
2530,0.37114
2540,0.3743
2550,0.3774
2560,0.38066
2570,0.38398
2580,0.38732
2590,0.39068
2600,0.39414
2610,0.39778
2620,0.40092
2630,0.4046
2640,0.4085
2650,0.4121
2660,0.41516
2670,0.4182
2680,0.42204
2690,0.42622
2700,0.42952
2710,0.43278
2720,0.4362
2730,0.43958
2740,0.4429
2750,0.44638
2760,0.44956
2770,0.45264
2780,0.456
2790,0.45928
2800,0.46304
2810,0.4667
2820,0.4701
2830,0.4733
2840,0.47654
2850,0.48
2860,0.48276
2870,0.48614
2880,0.48926
2890,0.49254
2900,0.49588
2910,0.4996
2920,0.50308
2930,0.5059
2940,0.50874
2950,0.51198
2960,0.5152
2970,0.51848
2980,0.52124
2990,0.5245
3000,0.52788
3010,0.53084
3020,0.53448
3030,0.5377
3040,0.54076
3050,0.5437
3060,0.54704
3070,0.5505
3080,0.5538
3090,0.55684
3100,0.55988
3110,0.56254
3120,0.56602
3130,0.56926
3140,0.57252
3150,0.57518
3160,0.57802
3170,0.58122
3180,0.58444
3190,0.58774
3200,0.59092
3210,0.59348
3220,0.59642
3230,0.60008
3240,0.60358
3250,0.60628
3260,0.6094
3270,0.61244
3280,0.61516
3290,0.61804
3300,0.62154
3310,0.62442
3320,0.62744
3330,0.6303
3340,0.63306
3350,0.6357
3360,0.63842
3370,0.6411
3380,0.64378
3390,0.64652
3400,0.64916
3410,0.65176
3420,0.65484
3430,0.65742
3440,0.65996
3450,0.66256
3460,0.66506
3470,0.66734
3480,0.67006
3490,0.6727
3500,0.6753
3510,0.67788
3520,0.68038
3530,0.68284
3540,0.6852
3550,0.6882
3560,0.69046
3570,0.69278
3580,0.69528
3590,0.6976
3600,0.7001
3610,0.70254
3620,0.70524
3630,0.70788
3640,0.71052
3650,0.71244
3660,0.7148
3670,0.7171
3680,0.71936
3690,0.72138
3700,0.72392
3710,0.72622
3720,0.72812
3730,0.73038
3740,0.73322
3750,0.73564
3760,0.7377
3770,0.74
3780,0.74226
3790,0.7445
3800,0.74708
3810,0.74906
3820,0.7511
3830,0.75332
3840,0.75536
3850,0.75772
3860,0.76006
3870,0.76176
3880,0.76412
3890,0.7666
3900,0.76914
3910,0.77132
3920,0.77326
3930,0.77546
3940,0.77734
3950,0.7793
3960,0.78132
3970,0.7831
3980,0.78498
3990,0.78678
4000,0.78858
4010,0.79072
4020,0.79322
4030,0.7953
4040,0.79724
4050,0.79906
4060,0.80062
4070,0.80242
4080,0.80418
4090,0.80624
4100,0.80826
4110,0.81008
4120,0.81184
4130,0.81388
4140,0.81566
4150,0.81746
4160,0.81932
4170,0.82132
4180,0.8229
4190,0.8245
4200,0.8264
4210,0.8279
4220,0.82932
4230,0.83112
4240,0.83308
4250,0.83484
4260,0.83624
4270,0.83818
4280,0.83944
4290,0.84116
4300,0.84304
4310,0.84452
4320,0.84602
4330,0.84778
4340,0.84946
4350,0.85114
4360,0.85244
4370,0.85362
4380,0.85514
4390,0.85642
4400,0.85816
4410,0.8595
4420,0.86098
4430,0.86266
4440,0.8641
4450,0.8657
4460,0.86686
4470,0.86812
4480,0.86952
4490,0.8706
4500,0.87174
4510,0.87306
4520,0.8741
4530,0.87532
4540,0.87668
4550,0.87794
4560,0.87948
4570,0.88092
4580,0.88196
4590,0.88288
4600,0.88402
4610,0.8853
4620,0.88626
4630,0.88756
4640,0.88852
4650,0.88974
4660,0.8908
4670,0.89238
4680,0.89358
4690,0.89468
4700,0.89568
4710,0.89686
4720,0.89774
4730,0.89888
4740,0.90002
4750,0.90104
4760,0.90238
4770,0.90354
4780,0.90476
4790,0.9056
4800,0.90624
4810,0.9073
4820,0.90816
4830,0.90906
4840,0.90998
4850,0.91094
4860,0.9119
4870,0.91268
4880,0.91372
4890,0.91458
4900,0.91536
4910,0.9164
4920,0.91738
4930,0.91822
4940,0.91904
4950,0.91976
4960,0.92044
4970,0.92132
4980,0.9223
4990,0.92286
5000,0.92362
5010,0.9244
5020,0.9253
5030,0.926
5040,0.92684
5050,0.92762
5060,0.92818
5070,0.9288
5080,0.9298
5090,0.9306
5100,0.93134
5110,0.93192
5120,0.93258
5130,0.93324
5140,0.934
5150,0.9348
5160,0.93542
5170,0.93628
5180,0.93716
5190,0.93768
5200,0.93828
5210,0.93908
5220,0.93988
5230,0.94044
5240,0.94122
5250,0.94172
5260,0.94244
5270,0.94304
5280,0.94358
5290,0.94414
5300,0.94488
5310,0.94554
5320,0.94612
5330,0.94676
5340,0.94734
5350,0.9478
5360,0.94846
5370,0.94904
5380,0.94962
5390,0.9502
5400,0.95068
5410,0.95138
5420,0.95184
5430,0.95252
5440,0.95282
5450,0.95338
5460,0.95396
5470,0.95442
5480,0.95488
5490,0.95546
5500,0.95608
5510,0.95656
5520,0.95718
5530,0.95766
5540,0.95836
5550,0.9589
5560,0.95948
5570,0.95992
5580,0.96024
5590,0.96078
5600,0.96136
5610,0.96184
5620,0.96254
5630,0.9631
5640,0.96358
5650,0.96396
5660,0.9643
5670,0.96478
5680,0.96526
5690,0.9656
5700,0.96608
5710,0.96638
5720,0.96676
5730,0.96716
5740,0.96764
5750,0.96802
5760,0.96852
5770,0.9688
5780,0.9693
5790,0.9697
5800,0.9701
5810,0.9704
5820,0.97074
5830,0.97106
5840,0.97136
5850,0.97166
5860,0.97196
5870,0.97236
5880,0.9727
5890,0.97294
5900,0.9732
5910,0.9734
5920,0.97368
5930,0.97396
5940,0.97418
5950,0.9744
5960,0.97464
5970,0.97498
5980,0.97526
5990,0.97564
6000,0.97606
6010,0.9764
6020,0.97654
6030,0.9768
6040,0.97708
