x,y
0,0.0
100,0.016
200,0.032
300,0.047
400,0.064
500,0.083
600,0.094
700,0.105
800,0.117
900,0.126
1000,0.134
1100,0.148
1200,0.158
1300,0.177
1400,0.19
1500,0.204
1600,0.22
1700,0.232
1800,0.249
1900,0.259
2000,0.279
2100,0.298
2200,0.306
2300,0.319
2400,0.327
2500,0.339
2600,0.354
2700,0.361
2800,0.366
2900,0.38
3000,0.392
3100,0.402
3200,0.41
3300,0.42
3400,0.424
3500,0.434
3600,0.447
3700,0.454
3800,0.467
3900,0.482
4000,0.491
4100,0.503
4200,0.51
4300,0.517
4400,0.526
4500,0.533
4600,0.544
4700,0.555
4800,0.556
4900,0.566
5000,0.569
5100,0.576
5200,0.584
5300,0.592
5400,0.597
5500,0.603
5600,0.606
5700,0.609
5800,0.622
5900,0.625
6000,0.632
6100,0.638
6200,0.642
6300,0.647
6400,0.65
6500,0.662
6600,0.674
6700,0.681
6800,0.686
6900,0.692
7000,0.699
7100,0.702
7200,0.708
7300,0.714
7400,0.717
7500,0.718
7600,0.718
7700,0.72
7800,0.721
7900,0.721
8000,0.724
8100,0.729
8200,0.732
8300,0.734
8400,0.738
8500,0.742
8600,0.747
8700,0.752
8800,0.756
8900,0.758
9000,0.761
9100,0.765
9200,0.767
9300,0.768
9400,0.773
9500,0.777
9600,0.78
9700,0.782
9800,0.784
9900,0.788
10000,0.79
10100,0.794
10200,0.797
10300,0.798
10400,0.802
10500,0.803
10600,0.806
10700,0.811
10800,0.813
10900,0.816
11000,0.816
11100,0.821
11200,0.822
11300,0.822
11400,0.823
11500,0.827
11600,0.83
11700,0.832
11800,0.834
11900,0.837
12000,0.839
12100,0.841
12200,0.844
12300,0.845
12400,0.846
12500,0.848
12600,0.852
12700,0.854
12800,0.857
12900,0.864
13000,0.865
13100,0.867
13200,0.871
13300,0.873
13400,0.876
13500,0.877
13600,0.878
13700,0.879
13800,0.88
13900,0.883
14000,0.885
14100,0.886
14200,0.888
14300,0.891
14400,0.891
14500,0.892
14600,0.895
14700,0.897
14800,0.898
14900,0.9
15000,0.903
