x,y
0,0.0
100,0.001
200,0.002
300,0.006
400,0.015
500,0.022
600,0.032
700,0.04
800,0.047
900,0.06
1000,0.076
1100,0.085
1200,0.096
1300,0.111
1400,0.124
1500,0.136
1600,0.157
1700,0.171
1800,0.187
1900,0.203
2000,0.226
2100,0.248
2200,0.266
2300,0.285
2400,0.298
2500,0.312
2600,0.332
2700,0.353
2800,0.373
2900,0.388
3000,0.402
3100,0.417
3200,0.428
3300,0.441
3400,0.463
3500,0.489
3600,0.504
3700,0.518
3800,0.533
3900,0.549
4000,0.564
4100,0.569
4200,0.574
4300,0.587
4400,0.601
4500,0.608
4600,0.618
4700,0.633
4800,0.641
4900,0.653
5000,0.659
5100,0.667
5200,0.678
5300,0.686
5400,0.699
5500,0.71
5600,0.72
5700,0.727
5800,0.732
5900,0.738
6000,0.744
6100,0.751
6200,0.758
6300,0.769
6400,0.778
6500,0.785
6600,0.794
6700,0.803
6800,0.811
6900,0.814
7000,0.823
7100,0.831
7200,0.836
7300,0.848
7400,0.853
7500,0.859
7600,0.862
7700,0.867
7800,0.868
7900,0.874
8000,0.877
