x,y
0,0.0
1000,0.003
2000,0.007
3000,0.012
4000,0.017
5000,0.02
6000,0.023
7000,0.026
8000,0.029
9000,0.032
10000,0.039
11000,0.042
12000,0.047
13000,0.049
14000,0.055
15000,0.058
16000,0.062
17000,0.064
18000,0.068
19000,0.073
20000,0.077
21000,0.079
22000,0.083
23000,0.088
24000,0.095
25000,0.096
26000,0.096
27000,0.099
28000,0.104
29000,0.11
30000,0.111
31000,0.116
32000,0.119
33000,0.125
34000,0.125
35000,0.128
36000,0.129
37000,0.129
38000,0.133
39000,0.14
40000,0.143
41000,0.148
42000,0.152
43000,0.153
44000,0.157
45000,0.161
46000,0.164
47000,0.165
48000,0.17
49000,0.175
50000,0.175
51000,0.176
52000,0.18
53000,0.182
54000,0.186
55000,0.191
56000,0.195
57000,0.198
58000,0.201
59000,0.205
60000,0.206
61000,0.209
62000,0.209
63000,0.214
64000,0.22
65000,0.225
66000,0.226
67000,0.227
68000,0.232
69000,0.234
70000,0.237
71000,0.239
72000,0.243
73000,0.245
74000,0.247
75000,0.248
76000,0.253
77000,0.254
78000,0.254
79000,0.258
80000,0.261
81000,0.266
82000,0.268
83000,0.27
84000,0.272
85000,0.275
86000,0.277
87000,0.281
88000,0.283
89000,0.285
90000,0.29
91000,0.29
92000,0.291
93000,0.292
94000,0.295
95000,0.296
96000,0.297
97000,0.298
98000,0.301
99000,0.304
100000,0.307
101000,0.307
102000,0.308
103000,0.31
104000,0.312
105000,0.319
106000,0.32
107000,0.324
108000,0.327
109000,0.332
110000,0.334
111000,0.338
112000,0.34
113000,0.342
114000,0.344
115000,0.35
116000,0.35
117000,0.35
118000,0.353
119000,0.355
120000,0.355
121000,0.357
122000,0.359
123000,0.361
124000,0.362
125000,0.363
126000,0.366
127000,0.37
128000,0.371
129000,0.371
130000,0.374
131000,0.374
132000,0.379
133000,0.38
134000,0.382
135000,0.384
136000,0.387
137000,0.388
138000,0.388
139000,0.389
140000,0.389
141000,0.393
142000,0.394
143000,0.396
144000,0.397
145000,0.399
146000,0.399
147000,0.399
148000,0.401
149000,0.403
150000,0.407
151000,0.41
152000,0.411
153000,0.414
154000,0.418
155000,0.42
156000,0.423
157000,0.423
158000,0.425
159000,0.428
160000,0.432
161000,0.433
162000,0.436
163000,0.439
164000,0.442
165000,0.447
166000,0.449
167000,0.45
168000,0.452
169000,0.455
170000,0.457
171000,0.46
172000,0.461
173000,0.462
174000,0.462
175000,0.466
176000,0.468
177000,0.468
178000,0.471
179000,0.471
180000,0.471
181000,0.473
182000,0.475
183000,0.477
184000,0.479
185000,0.479
186000,0.48
187000,0.484
188000,0.484
189000,0.485
190000,0.486
191000,0.486
192000,0.487
193000,0.489
194000,0.491
195000,0.493
196000,0.496
197000,0.499
198000,0.499
199000,0.503
200000,0.505
201000,0.505
202000,0.508
203000,0.51
204000,0.511
205000,0.512
206000,0.512
207000,0.517
208000,0.517
209000,0.517
210000,0.518
211000,0.519
212000,0.523
213000,0.524
214000,0.524
215000,0.526
216000,0.529
217000,0.529
218000,0.531
219000,0.533
220000,0.535
221000,0.536
222000,0.536
223000,0.539
224000,0.539
225000,0.539
226000,0.542
227000,0.542
228000,0.542
229000,0.544
230000,0.545
231000,0.547
232000,0.547
233000,0.547
234000,0.547
235000,0.548
236000,0.549
237000,0.55
238000,0.55
239000,0.55
240000,0.551
241000,0.551
242000,0.553
243000,0.555
244000,0.557
245000,0.558
246000,0.558
247000,0.56
248000,0.561
249000,0.562
250000,0.563
251000,0.564
252000,0.566
253000,0.568
254000,0.569
255000,0.571
256000,0.573
257000,0.573
258000,0.573
259000,0.573
260000,0.573
261000,0.573
262000,0.575
263000,0.577
264000,0.579
265000,0.58
266000,0.582
267000,0.582
268000,0.583
269000,0.587
270000,0.589
271000,0.589
272000,0.59
273000,0.59
274000,0.591
275000,0.593
276000,0.594
277000,0.594
278000,0.595
279000,0.595
280000,0.596
281000,0.597
282000,0.597
283000,0.599
284000,0.6
285000,0.6
286000,0.602
287000,0.604
288000,0.606
289000,0.609
290000,0.609
291000,0.611
292000,0.612
293000,0.616
294000,0.616
295000,0.618
296000,0.621
297000,0.623
298000,0.627
299000,0.628
300000,0.628
301000,0.629
302000,0.629
303000,0.631
304000,0.632
305000,0.632
306000,0.632
307000,0.633
308000,0.634
309000,0.634
310000,0.635
311000,0.637
312000,0.639
313000,0.641
314000,0.641
315000,0.642
316000,0.642
317000,0.643
318000,0.645
319000,0.645
320000,0.645
321000,0.646
322000,0.646
323000,0.647
324000,0.647
325000,0.648
326000,0.648
327000,0.65
328000,0.653
329000,0.654
330000,0.655
331000,0.655
332000,0.655
333000,0.655
334000,0.656
335000,0.658
336000,0.66
337000,0.661
338000,0.662
339000,0.663
340000,0.664
341000,0.664
342000,0.664
343000,0.664
344000,0.665
345000,0.665
346000,0.666
347000,0.666
348000,0.667
349000,0.669
350000,0.669
351000,0.669
352000,0.669
353000,0.67
354000,0.67
355000,0.672
356000,0.674
357000,0.675
358000,0.676
359000,0.678
360000,0.678
361000,0.679
362000,0.68
363000,0.681
364000,0.682
365000,0.682
366000,0.682
367000,0.682
368000,0.682
369000,0.682
370000,0.683
371000,0.684
372000,0.684
373000,0.685
374000,0.686
375000,0.688
376000,0.69
377000,0.69
378000,0.69
379000,0.69
380000,0.69
381000,0.691
382000,0.692
383000,0.693
384000,0.695
385000,0.695
386000,0.695
387000,0.698
388000,0.7
389000,0.701
390000,0.702
391000,0.703
392000,0.703
393000,0.703
394000,0.703
395000,0.703
396000,0.704
397000,0.704
398000,0.706
399000,0.706
400000,0.707
401000,0.708
402000,0.709
403000,0.709
404000,0.71
405000,0.711
406000,0.711
407000,0.711
408000,0.712
409000,0.712
410000,0.714
411000,0.715
412000,0.716
413000,0.717
414000,0.719
415000,0.719
416000,0.719
417000,0.719
418000,0.719
419000,0.72
420000,0.72
421000,0.722
422000,0.723
423000,0.724
424000,0.724
425000,0.725
426000,0.726
427000,0.726
428000,0.727
429000,0.727
430000,0.727
431000,0.729
432000,0.73
433000,0.731
434000,0.732
435000,0.732
436000,0.732
437000,0.732
438000,0.732
439000,0.732
440000,0.734
441000,0.736
442000,0.736
443000,0.736
444000,0.737
445000,0.737
446000,0.739
447000,0.739
448000,0.739
