x,y
0,0.0
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.0
2100,0.0
2200,0.0
2300,0.0
2400,0.0
2500,0.0
2600,0.0
2700,0.0
2800,0.0
2900,0.0
3000,0.0
3100,0.0
3200,0.0
3300,0.001
3400,0.001
3500,0.001
3600,0.002
3700,0.002
3800,0.002
3900,0.003
4000,0.004
4100,0.004
4200,0.004
4300,0.004
4400,0.005
4500,0.005
4600,0.005
4700,0.005
4800,0.006
4900,0.006
5000,0.007
5100,0.007
5200,0.007
5300,0.01
5400,0.011
5500,0.013
5600,0.014
5700,0.014
5800,0.017
5900,0.02
6000,0.02
6100,0.022
6200,0.023
6300,0.026
6400,0.029
6500,0.03
6600,0.034
6700,0.038
6800,0.04
6900,0.044
7000,0.047
7100,0.054
7200,0.055
7300,0.061
7400,0.069
7500,0.073
7600,0.076
7700,0.082
7800,0.087
7900,0.093
8000,0.102
8100,0.11
8200,0.116
8300,0.121
8400,0.127
8500,0.132
8600,0.137
8700,0.143
8800,0.154
8900,0.16
9000,0.171
9100,0.178
9200,0.182
9300,0.192
9400,0.2
9500,0.21
9600,0.219
9700,0.231
9800,0.249
9900,0.26
10000,0.267
10100,0.277
10200,0.29
10300,0.301
10400,0.313
10500,0.322
10600,0.331
10700,0.343
10800,0.352
10900,0.364
11000,0.376
11100,0.386
11200,0.4
11300,0.412
11400,0.428
11500,0.434
11600,0.445
11700,0.451
11800,0.462
11900,0.474
12000,0.487
12100,0.5
12200,0.518
12300,0.534
12400,0.543
12500,0.557
12600,0.562
12700,0.572
12800,0.576
12900,0.583
13000,0.596
13100,0.606
13200,0.615
13300,0.622
13400,0.636
13500,0.649
13600,0.653
13700,0.662
13800,0.674
13900,0.683
14000,0.69
14100,0.7
14200,0.713
14300,0.722
14400,0.73
14500,0.738
14600,0.747
14700,0.761
14800,0.769
14900,0.774
15000,0.779
15100,0.783
15200,0.788
15300,0.793
15400,0.804
15500,0.815
15600,0.824
15700,0.827
15800,0.835
15900,0.84
16000,0.847
