x,y
0,0.0
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
70,0.0
80,0.0
90,0.0
100,0.0
110,0.0
120,0.0
130,0.0
140,0.0
150,0.0
160,0.0
170,0.0
180,0.0
190,0.0
200,0.0
210,0.0
220,0.0
230,0.0
240,0.0
250,0.0
260,0.0
270,0.0
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
360,0.0
370,0.0
380,0.0
390,0.0
400,0.0
410,0.0
420,0.0
430,0.0
440,0.0
450,0.0
460,0.0
470,0.0
480,0.0
490,0.0
500,0.0
510,0.0
520,0.0
530,0.0
540,0.0
550,0.0
560,0.0
570,0.0
580,0.0
590,0.0
600,0.0
610,0.0
620,0.0
630,0.0
640,0.0
650,0.0
660,0.0
670,0.0
680,0.0
690,0.0
700,0.0
710,0.0
720,0.0
730,0.0
740,0.0
750,0.0
760,0.0
770,0.0
780,0.0
790,0.0
800,0.0
810,0.0
820,0.0
830,0.0
840,0.0
850,0.0
860,0.0
870,0.0
880,0.0
890,0.0
900,0.0
910,0.0
920,0.0
930,0.0
940,0.0
950,0.0
960,0.0
970,0.0
980,0.0
990,0.0
1000,0.0
1010,0.0
1020,0.0
1030,0.0
1040,0.0
1050,0.0
1060,0.0
1070,0.0
1080,0.0
1090,0.0
1100,0.0
1110,0.0
1120,0.0
1130,0.0
1140,0.0
1150,0.0
1160,0.0
1170,0.0
1180,0.0
1190,0.0
1200,0.0
1210,0.0
1220,0.0
1230,0.0
1240,0.0
1250,0.0
1260,0.0
1270,0.0
1280,0.0
1290,0.0
1300,0.0
1310,0.0
1320,0.0
1330,0.0
1340,0.0
1350,0.0
1360,0.0
1370,0.0
1380,0.0
1390,0.0
1400,0.0
1410,0.0
1420,0.0
1430,0.0
1440,0.0
1450,0.0
1460,0.0
1470,0.0
1480,0.0
1490,0.0
1500,0.0
1510,0.0
1520,0.0
1530,0.0
1540,0.0
1550,0.0
1560,0.0
1570,0.0
1580,0.0
1590,0.0
1600,0.0
1610,0.0
1620,0.0
1630,0.0
1640,0.0
1650,0.0
1660,0.0
1670,0.0
1680,0.0
1690,0.0
1700,0.0
1710,0.0
1720,0.0
1730,0.0
1740,0.0
1750,0.0
1760,0.0
1770,0.0
1780,0.0
1790,0.0
1800,0.0
1810,0.0
1820,0.0
1830,0.0
1840,0.0
1850,0.0
1860,0.0
1870,0.0
1880,0.0
1890,0.0
1900,0.0
1910,0.0
1920,0.0
1930,0.0
1940,0.0
1950,0.0
1960,0.0
1970,0.0
1980,0.0
1990,0.0
2000,0.0
2010,0.0
2020,0.0
2030,0.0
2040,0.0
2050,0.0
2060,0.0
2070,0.0
2080,0.0
2090,0.0
2100,0.0
2110,0.0
2120,0.0
2130,0.0
2140,0.0
2150,0.0
2160,0.0
2170,0.0
2180,0.0
2190,0.0
2200,0.0
2210,0.0
2220,0.0
2230,0.0
2240,0.0
2250,0.0
2260,0.0
2270,0.0
2280,0.0
2290,2e-05
2300,2e-05
2310,2e-05
2320,2e-05
2330,2e-05
2340,2e-05
2350,2e-05
2360,2e-05
2370,2e-05
2380,2e-05
2390,2e-05
2400,2e-05
2410,2e-05
2420,2e-05
2430,2e-05
2440,2e-05
2450,2e-05
2460,2e-05
2470,2e-05
2480,2e-05
2490,2e-05
2500,2e-05
2510,2e-05
2520,2e-05
2530,2e-05
2540,2e-05
2550,2e-05
2560,2e-05
2570,2e-05
2580,2e-05
2590,2e-05
2600,2e-05
2610,2e-05
2620,4e-05
2630,4e-05
2640,4e-05
2650,4e-05
2660,4e-05
2670,4e-05
2680,4e-05
2690,4e-05
2700,4e-05
2710,4e-05
2720,4e-05
2730,4e-05
2740,4e-05
2750,4e-05
2760,4e-05
2770,4e-05
2780,4e-05
2790,4e-05
2800,4e-05
2810,4e-05
2820,4e-05
2830,4e-05
2840,4e-05
2850,4e-05
2860,4e-05
2870,4e-05
2880,4e-05
2890,4e-05
2900,4e-05
2910,4e-05
2920,4e-05
2930,4e-05
2940,4e-05
2950,4e-05
2960,4e-05
2970,4e-05
2980,4e-05
2990,4e-05
3000,4e-05
3010,4e-05
3020,4e-05
3030,4e-05
3040,4e-05
3050,4e-05
3060,4e-05
3070,4e-05
3080,4e-05
3090,4e-05
3100,4e-05
3110,4e-05
3120,4e-05
3130,4e-05
3140,4e-05
3150,4e-05
3160,4e-05
3170,4e-05
3180,4e-05
3190,4e-05
3200,4e-05
3210,4e-05
3220,4e-05
3230,4e-05
3240,4e-05
3250,4e-05
3260,4e-05
3270,4e-05
3280,4e-05
3290,4e-05
3300,4e-05
3310,4e-05
3320,6e-05
3330,6e-05
3340,6e-05
3350,6e-05
3360,6e-05
3370,6e-05
3380,6e-05
3390,6e-05
3400,6e-05
3410,6e-05
3420,6e-05
3430,6e-05
3440,8e-05
3450,8e-05
3460,8e-05
3470,8e-05
3480,8e-05
3490,8e-05
3500,8e-05
3510,0.0001
3520,0.0001
3530,0.0001
3540,0.00012
3550,0.00014
3560,0.00014
3570,0.00014
3580,0.00014
3590,0.00014
3600,0.00014
3610,0.00014
3620,0.00014
3630,0.00016
3640,0.00018
3650,0.00018
3660,0.00018
3670,0.00018
3680,0.00018
3690,0.00018
3700,0.00018
3710,0.00018
3720,0.0002
3730,0.0002
3740,0.0002
3750,0.00022
3760,0.00022
3770,0.00022
3780,0.00024
3790,0.00026
3800,0.00028
3810,0.0003
3820,0.0003
3830,0.0003
3840,0.0003
3850,0.0003
3860,0.00032
3870,0.00032
3880,0.00034
3890,0.00036
3900,0.00036
3910,0.00038
3920,0.00038
3930,0.00038
3940,0.0004
3950,0.0004
3960,0.00044
3970,0.00044
3980,0.00044
3990,0.00044
4000,0.00044
4010,0.00044
4020,0.00044
4030,0.00046
4040,0.00048
4050,0.0005
4060,0.00052
4070,0.00052
4080,0.00052
4090,0.00054
4100,0.00054
4110,0.00056
4120,0.00058
4130,0.00058
4140,0.00058
4150,0.00058
4160,0.00058
4170,0.00064
4180,0.00064
4190,0.00066
4200,0.00068
4210,0.00068
4220,0.0007
4230,0.00076
4240,0.00076
4250,0.00078
4260,0.0008
4270,0.0008
4280,0.00082
4290,0.00082
4300,0.00082
4310,0.00084
4320,0.00088
4330,0.0009
4340,0.0009
4350,0.0009
4360,0.00096
4370,0.00098
4380,0.00098
4390,0.001
4400,0.001
4410,0.00104
4420,0.00104
4430,0.00104
4440,0.00106
4450,0.00106
4460,0.00116
4470,0.00118
4480,0.00118
4490,0.00118
4500,0.0012
4510,0.0012
4520,0.00124
4530,0.00124
4540,0.00132
4550,0.00136
4560,0.00138
4570,0.00142
4580,0.00144
4590,0.00146
4600,0.00148
4610,0.00152
4620,0.00152
4630,0.00152
4640,0.00154
4650,0.00154
4660,0.00164
4670,0.00172
4680,0.00176
4690,0.00178
4700,0.0018
4710,0.00182
4720,0.00184
4730,0.0019
4740,0.00192
4750,0.00196
4760,0.00196
4770,0.00206
4780,0.0021
4790,0.00212
4800,0.00212
4810,0.00214
4820,0.00218
4830,0.0022
4840,0.0023
4850,0.00232
4860,0.00236
4870,0.0024
4880,0.00244
4890,0.00252
4900,0.00254
4910,0.0026
4920,0.00264
4930,0.00272
4940,0.00276
4950,0.0028
4960,0.00286
4970,0.0029
4980,0.00294
4990,0.00296
5000,0.00302
5010,0.00312
5020,0.00318
5030,0.00324
5040,0.00328
5050,0.0033
5060,0.00338
5070,0.00342
5080,0.00348
5090,0.00356
5100,0.00358
5110,0.00372
5120,0.00376
5130,0.00378
5140,0.00388
5150,0.004
5160,0.00408
5170,0.00422
5180,0.00428
5190,0.00442
5200,0.0045
5210,0.00462
5220,0.00464
5230,0.00478
5240,0.00478
5250,0.00486
5260,0.00496
5270,0.00504
5280,0.00512
5290,0.0052
5300,0.00524
5310,0.00532
5320,0.00534
5330,0.00536
5340,0.00538
5350,0.00538
5360,0.00546
5370,0.00562
5380,0.00566
5390,0.0057
5400,0.00576
5410,0.00576
5420,0.00584
5430,0.0059
5440,0.00602
5450,0.0061
5460,0.00628
5470,0.00638
5480,0.0066
5490,0.00668
5500,0.00678
5510,0.00684
5520,0.00688
5530,0.00698
5540,0.00702
5550,0.00712
5560,0.00728
5570,0.00748
5580,0.0076
5590,0.00768
5600,0.00772
5610,0.00782
5620,0.008
5630,0.00822
5640,0.00828
5650,0.00838
5660,0.00848
5670,0.00858
5680,0.0087
5690,0.00888
5700,0.00898
5710,0.00914
5720,0.00926
5730,0.00942
5740,0.00954
5750,0.00962
5760,0.00976
5770,0.00988
5780,0.00994
5790,0.01004
5800,0.01014
5810,0.0103
5820,0.01048
5830,0.01058
5840,0.01076
5850,0.01088
5860,0.01094
5870,0.011
5880,0.0111
5890,0.01124
5900,0.01136
5910,0.01152
5920,0.01166
5930,0.0117
5940,0.0118
5950,0.01192
5960,0.01202
5970,0.01226
5980,0.01242
5990,0.01246
6000,0.01258
6010,0.01274
6020,0.0128
6030,0.01302
6040,0.01312
6050,0.01322
6060,0.0134
6070,0.01362
6080,0.0138
6090,0.01412
6100,0.01424
6110,0.0144
6120,0.01458
6130,0.0147
6140,0.01486
6150,0.01494
6160,0.01512
6170,0.0153
6180,0.01536
6190,0.01556
6200,0.01578
6210,0.01592
6220,0.0161
6230,0.01616
6240,0.01632
6250,0.01644
6260,0.01654
6270,0.01684
6280,0.01704
6290,0.01716
