x,y
0,0.0
100,0.007
200,0.01
300,0.017
400,0.019
500,0.029
600,0.035
700,0.039
800,0.043
900,0.055
1000,0.062
1100,0.066
1200,0.072
1300,0.08
1400,0.088
1500,0.091
1600,0.096
1700,0.106
1800,0.107
1900,0.115
2000,0.121
2100,0.124
2200,0.133
2300,0.138
2400,0.147
2500,0.151
2600,0.157
2700,0.163
2800,0.167
2900,0.17
3000,0.174
3100,0.177
3200,0.18
3300,0.183
3400,0.19
3500,0.195
3600,0.203
3700,0.207
3800,0.211
3900,0.214
4000,0.219
4100,0.226
4200,0.231
4300,0.236
4400,0.241
4500,0.246
4600,0.251
4700,0.253
4800,0.262
4900,0.265
5000,0.269
5100,0.278
5200,0.282
5300,0.286
5400,0.289
5500,0.294
5600,0.302
5700,0.304
5800,0.307
5900,0.313
6000,0.318
6100,0.322
6200,0.324
6300,0.331
6400,0.338
6500,0.34
6600,0.342
6700,0.347
6800,0.352
6900,0.353
7000,0.357
7100,0.363
7200,0.367
7300,0.368
7400,0.369
7500,0.371
7600,0.375
7700,0.378
7800,0.389
7900,0.392
8000,0.397
8100,0.398
8200,0.4
8300,0.404
8400,0.408
8500,0.41
8600,0.413
8700,0.414
8800,0.417
8900,0.424
9000,0.428
9100,0.43
9200,0.432
9300,0.433
9400,0.437
9500,0.438
9600,0.442
9700,0.445
9800,0.451
9900,0.453
10000,0.456
10100,0.46
10200,0.461
10300,0.467
10400,0.473
10500,0.476
10600,0.477
10700,0.479
10800,0.48
10900,0.482
11000,0.484
11100,0.486
11200,0.489
11300,0.49
11400,0.49
11500,0.495
11600,0.497
11700,0.501
11800,0.507
11900,0.512
12000,0.516
12100,0.519
12200,0.52
12300,0.524
12400,0.526
12500,0.528
12600,0.533
12700,0.535
12800,0.539
12900,0.54
13000,0.546
13100,0.549
13200,0.551
13300,0.553
13400,0.555
13500,0.556
13600,0.556
13700,0.558
13800,0.56
13900,0.56
14000,0.562
14100,0.565
14200,0.566
14300,0.567
14400,0.57
14500,0.571
14600,0.573
14700,0.575
14800,0.578
14900,0.58
15000,0.581
15100,0.581
15200,0.581
15300,0.584
15400,0.585
15500,0.589
15600,0.589
15700,0.589
15800,0.595
15900,0.598
16000,0.601
